Archivo,sis,dias,map,fc,sat,etco2,vt
s1_0533.tiff,92,5,,134,99,,
s1_0534.tiff,,55,,134,99,,
s1_0535.tiff,94,55,,134,99,,
s1_0536.tiff,,55,,134,99,,
s1_0537.tiff,,54,,134,98,,
s1_0538.tiff,,5,,134,98,,
s1_0539.tiff,92,5,,134,98,4,
s1_0540.tiff,94,55,,134,98,,
s1_0541.tiff,94,55,2,134,98,,
s1_0542.tiff,,56,2,134,98,,
s1_0543.tiff,,4,7,134,,,
s1_0544.tiff,,5,,134,99,,7
s1_0545.tiff,92,54,,134,99,,
s1_0546.tiff,94,55,2,134,99,,
s1_0547.tiff,94,55,2,134,99,,5
s1_0548.tiff,94,55,2,134,99,,
s1_0549.tiff,,,,134,99,,
s1_0550.tiff,,5,,134,99,,
s1_0551.tiff,92,5,,133,99,,7
s1_0552.tiff,94,55,,133,99,,
s1_0553.tiff,,55,,,99,,
s1_0554.tiff,,5,,133,99,,
s1_0555.tiff,,5,,133,99,,0
s1_0556.tiff,,5,,134,99,,5
s1_0557.tiff,92,5,,133,99,,
s1_0558.tiff,94,55,,133,99,,
s1_0559.tiff,94,55,,133,98,,
s1_0560.tiff,94,55,,133,98,,
s1_0561.tiff,92,54,,133,99,,
s1_0562.tiff,92,54,,133,99,,
s1_0563.tiff,92,54,,134,99,,
s1_0564.tiff,94,55,,,,,
s1_0565.tiff,94,55,,134,99,,
s1_0566.tiff,,53,,134,99,,
s1_0567.tiff,,53,,134,99,,
s1_0568.tiff,,53,2,134,99,,
s1_0569.tiff,92,,,134,99,,
s1_0570.tiff,92,5,,134,99,,
s1_0571.tiff,94,55,,134,99,,
s1_0572.tiff,94,55,,134,99,,
s1_0573.tiff,,54,,134,99,,
s1_0574.tiff,1,54,,134,99,,
s1_0575.tiff,,54,,134,399,,
s1_0576.tiff,4,,,134,99,,
s1_0577.tiff,4,55,2,134,99,,
s1_0578.tiff,92,,2,134,99,,
s1_0579.tiff,92,54,,134,,,
s1_0580.tiff,,,,134,,,
s1_0581.tiff,92,54,,134,98,,
s1_0582.tiff,,55,,134,99,,
s1_0583.tiff,94,,,134,399,,
s1_0584.tiff,94,55,,134,99,1,
s1_0585.tiff,,5,,134,99,,
s1_0586.tiff,,5,,134,98,,
s1_0587.tiff,,5,,134,,,
s1_0588.tiff,94,,,134,398,,7
s1_0589.tiff,,55,,134,98,0,
s1_0590.tiff,94,,,134,99,,
s1_0591.tiff,92,,,134,99,,
s1_0592.tiff,92,5,,134,99,,
s1_0593.tiff,92,5,,134,99,,
s1_0594.tiff,4,55,,134,99,,
s1_0595.tiff,,55,,134,99,,
s1_0596.tiff,,55,,133,,,
s1_0597.tiff,92,,,134,398,,
s1_0598.tiff,92,,,133,98,,7
s1_0599.tiff,92,54,,133,98,,
s1_0600.tiff,3,55,2,133,98,,
s1_0601.tiff,94,,2,134,98,,
s1_0602.tiff,94,55,2,133,98,,
s1_0603.tiff,92,54,7,134,98,,
s1_0604.tiff,92,54,7,134,38,,
s1_0605.tiff,92,,,134,98,,5
s1_0606.tiff,94,55,,134,98,,
s1_0607.tiff,94,55,2,135,98,,
s1_0608.tiff,,55,2,134,98,,
s1_0609.tiff,92,54,,134,98,,
s1_0610.tiff,92,5,7,134,98,,
s1_0611.tiff,92,54,,134,98,,
s1_0612.tiff,94,55,,134,98,,
s1_0613.tiff,94,55,,134,99,,
s1_0614.tiff,94,55,,133,99,,
s1_0615.tiff,92,,,134,99,,
s1_0616.tiff,92,54,,134,98,,7
s1_0617.tiff,,5,,134,98,,7
s1_0618.tiff,94,55,2,134,98,,
s1_0619.tiff,94,55,,134,,,
s1_0620.tiff,,55,2,134,98,,7
s1_0621.tiff,92,,,134,98,,
s1_0622.tiff,92,,,134,98,,
s1_0623.tiff,92,5,,134,98,,
s1_0624.tiff,,55,,134,98,,
s1_0625.tiff,94,55,,134,99,,
